RA,Fase,Turma,Nome,Ano nasc,Idade 22,Genero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra,INDE,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV,ANO,Atingiu_PV
RA-1,7,A,Aluno-1,2003,19,Menina,2016,Escola Pública,Ametista,Ametista,QUARTZO,5.783,"753,000",18,10,4,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,Requer avaliação,4.0,"2,7","3,5","6,0",Sim,7.278,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-2,7,A,Aluno-2,2005,17,Menina,2017,Rede Decisão,Ametista,Ametista,AMETISTA,7.055,"469,000",8,3,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,5.2,6.3,Sem limitações,6.8,"6,3","4,5","9,7",Não,6.778,10.0,Fase 7 (3º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-3,7,A,Aluno-3,2005,17,Menina,2016,Rede Decisão,Ametista,Ametista,AGATA,6.591,"629,000",13,6,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.9,5.6,Sem limitações,5.6,"5,8","4,0","6,9",Não,7.556,10.0,Fase 7 (3º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-4,7,A,Aluno-4,2005,17,Menino,2017,Rede Decisão,Ametista,Ametista,QUARTZO,5.951,"731,000",15,7,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.8,4.5,5.6,Requer avaliação,5.0,"2,8","3,5","8,7",Não,5.278,10.0,Fase 7 (3º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-5,7,A,Aluno-5,2005,17,Menina,2016,Rede Decisão,Ametista,Ametista,AMETISTA,7.427,"344,000",6,2,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.6,5.6,Requer avaliação,5.2,"7,0","2,9","5,7",Não,7.389,10.0,Fase 7 (3º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-6,7,A,Aluno-6,2004,18,Menina,2021,Escola Pública,,Ágata,QUARTZO,5.848,"745,000",16,8,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,4.5,7.5,Sem limitações,3.3,"2,3","5,3","2,3",Sim,7.222,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-7,7,A,Aluno-7,2004,18,Menino,2017,Rede Decisão,Ametista,Ametista,AGATA,6.818,"550,000",11,5,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,0.0,8.4,7.5,Sem limitações,7.6,"8,2","5,7","9,0",Não,7.667,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-8,7,A,Aluno-8,2002,20,Menina,2018,Escola Pública,Quartzo,Ágata,QUARTZO,4.786,"836,000",21,13,4,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.1,4.6,6.3,Requer avaliação,1.6,"1,2","0,7","2,9",Não,6.278,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-9,7,A,Aluno-9,2004,18,Menina,2019,Escola Pública,Ametista,Ametista,TOPAZIO,8.109,"113,000",1,1,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase + Bolsa,8.8,9.5,7.5,Sem limitações,6.7,"5,5","6,0","8,7",Sim,9.5,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-10,7,A,Aluno-10,2004,18,Menina,2021,Escola Pública,,Ágata,QUARTZO,5.784,"752,000",17,9,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,5.2,5.0,Requer avaliação,4.1,"3,3","2,6","6,4",Não,7.056,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-11,7,A,Aluno-11,2004,18,Menina,2016,Escola Pública,Quartzo,Ágata,QUARTZO,5.323,"799,000",19,11,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.2,4.2,5.0,Requer avaliação,3.0,"1,8","2,5","4,5",Não,6.389,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-12,7,A,Aluno-12,2005,17,Menina,2020,Escola Pública,Ágata,Ágata,QUARTZO,4.832,"834,000",20,12,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,0.0,4.0,6.9,Sem limitações,1.5,"2,7","1,1","0,7",Sim,6.389,10.0,Fase 7 (3º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-13,7,A,Aluno-13,2004,18,Menino,2016,Escola Pública,Ametista,Ametista,AGATA,6.902,"524,000",10,4,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,7.4,7.5,Sem limitações,4.7,"3,5","5,5","5,2",Sim,8.056,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-14,7,D,Aluno-14,2001,21,Menino,2022,Escola Pública,,,AGATA,6.793,"558,000",12,7,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.9,8.3,7.5,Não atendido,4.0,"8,0","0,0",,Sim,7.75,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-15,7,D,Aluno-15,2004,18,Menino,2022,Escola Pública,,,AMETISTA,7.783,"207,000",3,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.3,"8,0","6,5",,Sim,7.292,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-16,7,D,Aluno-16,2003,19,Menino,2022,Escola Pública,,,AGATA,6.112,"706,000",14,8,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,8.3,5.0,Requer avaliação,3.5,"7,0","0,0",,Sim,6.333,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-17,7,D,Aluno-17,2002,20,Menino,2022,Escola Pública,,,TOPAZIO,8.068,"125,000",2,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.8,"9,0","6,5",,Sim,8.292,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-18,7,D,Aluno-18,2003,19,Menino,2022,Escola Pública,,,AMETISTA,7.226,"418,000",7,5,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,6.3,8.7,6.3,Requer avaliação,9.0,"9,0","9,0",,Sim,6.875,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-19,7,D,Aluno-19,2003,19,Menina,2022,Escola Pública,,,AMETISTA,7.665,"248,000",4,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,9.5,7.5,Sem limitações,8.0,"7,0","9,0",,Sim,7.0,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-20,7,D,Aluno-20,2003,19,Menina,2022,Escola Pública,,,AMETISTA,7.535,"296,000",5,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.1,10.0,6.3,Não atendido,7.8,"9,0","6,5",,Sim,7.167,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-21,7,D,Aluno-21,2004,18,Menino,2022,Escola Pública,,,AGATA,6.945,"508,000",9,6,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.6,9.2,7.5,Não atendido,3.8,"7,0","0,5",,Sim,7.25,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-22,6,A,Aluno-22,2005,17,Menina,2019,Rede Decisão,Ametista,Ágata,AMETISTA,7.474,"327,000",10,10,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,8.3,7.4,8.1,Sem limitações,6.7,"9,0","3,1","7,8",Não,8.833,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-23,6,A,Aluno-23,2005,17,Menino,2021,Escola Pública,,Ametista,AMETISTA,7.677,"243,000",8,8,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.2,8.1,Sem limitações,6.7,"7,2","4,7","8,2",Sim,8.556,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-24,6,A,Aluno-24,2005,17,Menina,2021,Rede Decisão,,Topázio,TOPAZIO,8.087,"119,000",5,5,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,7.9,6.9,Requer avaliação,8.6,"10,0","6,3","9,7",Não,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-25,6,A,Aluno-25,2005,17,Menina,2021,Escola Pública,,Topázio,AMETISTA,7.979,"147,000",6,6,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.3,8.8,Sem limitações,6.9,"9,2","3,8","7,7",Sim,9.667,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
